Epoch 1 | Loss: 1.5314 | Time: 9.28s
Epoch 2 | Loss: 0.5508 | Time: 9.12s
Epoch 3 | Loss: 0.3883 | Time: 9.29s
Epoch 1 | Loss: 1.5009 | Time: 9.22s
Epoch 2 | Loss: 0.4944 | Time: 9.37s
Epoch 3 | Loss: 0.3685 | Time: 9.33s
Epoch 1 | Loss: 1.5856 | Time: 8.05s
Epoch 2 | Loss: 0.5667 | Time: 8.64s
Epoch 3 | Loss: 0.3942 | Time: 8.96s
Epoch 1 | Loss: 1.5422 | Time: 9.40s
Epoch 2 | Loss: 0.5226 | Time: 9.47s
Epoch 3 | Loss: 0.3819 | Time: 9.56s
Epoch 1 | Loss: 1.5141 | Time: 9.31s
Epoch 2 | Loss: 0.5253 | Time: 9.74s
Epoch 3 | Loss: 0.3791 | Time: 9.61s
Epoch 1 | Loss: 1.5701 | Time: 8.86s
Epoch 2 | Loss: 0.5305 | Time: 8.91s
Epoch 3 | Loss: 0.3840 | Time: 8.91s
Epoch 1 | Loss: 1.4775 | Time: 9.21s
Epoch 2 | Loss: 0.5138 | Time: 9.66s
Epoch 3 | Loss: 0.3792 | Time: 9.78s
Epoch 1 | Loss: 1.5948 | Time: 77.96s
Epoch 2 | Loss: 0.5425 | Time: 78.04s
Epoch 3 | Loss: 0.3859 | Time: 77.72s
Epoch 1 | Loss: 1.5450 | Time: 9.18s
Epoch 2 | Loss: 0.5076 | Time: 9.61s
Epoch 3 | Loss: 0.3745 | Time: 9.64s
Epoch 1 | Loss: 1.5603 | Time: 8.92s
Epoch 2 | Loss: 0.5209 | Time: 10.04s
Epoch 3 | Loss: 0.3785 | Time: 9.63s
Epoch 1 | Loss: 1.4992 | Time: 9.72s
Epoch 2 | Loss: 0.5283 | Time: 9.81s
Epoch 3 | Loss: 0.3822 | Time: 9.87s
Epoch 1 | Loss: 1.5916 | Time: 9.39s
Epoch 2 | Loss: 0.5445 | Time: 9.54s
Epoch 3 | Loss: 0.3809 | Time: 9.25s
Epoch 1 | Loss: 1.5422 | Time: 9.13s
Epoch 2 | Loss: 0.5441 | Time: 9.33s
Epoch 3 | Loss: 0.3886 | Time: 9.40s
Epoch 1 | Loss: 1.5282 | Time: 37.54s
Epoch 2 | Loss: 0.5409 | Time: 37.46s
Epoch 3 | Loss: 0.3850 | Time: 37.44s
Epoch 1 | Loss: 1.5465 | Time: 77.24s
Epoch 2 | Loss: 0.5353 | Time: 76.92s
Epoch 3 | Loss: 0.3834 | Time: 76.71s
Epoch 1 | Loss: 1.5503 | Time: 8.93s
Epoch 2 | Loss: 0.5310 | Time: 9.61s
Epoch 3 | Loss: 0.3854 | Time: 9.70s
Epoch 1 | Loss: 1.6503 | Time: 8.95s
Epoch 2 | Loss: 0.5558 | Time: 8.87s
Epoch 3 | Loss: 0.3891 | Time: 8.94s
Epoch 1 | Loss: 1.5189 | Time: 37.48s
Epoch 2 | Loss: 0.5345 | Time: 37.20s
Epoch 3 | Loss: 0.3875 | Time: 36.61s
Epoch 1 | Loss: 1.9366 | Time: 9.46s
Epoch 2 | Loss: 0.8836 | Time: 10.01s
Epoch 3 | Loss: 0.5482 | Time: 9.70s
Epoch 1 | Loss: 1.8327 | Time: 10.22s
Epoch 2 | Loss: 0.8100 | Time: 10.63s
Epoch 3 | Loss: 0.5296 | Time: 10.68s
Epoch 1 | Loss: 1.9064 | Time: 9.43s
Epoch 2 | Loss: 0.8383 | Time: 9.61s
Epoch 3 | Loss: 0.5270 | Time: 9.40s
Epoch 1 | Loss: 1.9928 | Time: 39.46s
Epoch 2 | Loss: 0.9012 | Time: 39.41s
Epoch 3 | Loss: 0.5318 | Time: 39.20s
Epoch 1 | Loss: 1.7400 | Time: 10.08s
Epoch 2 | Loss: 0.6712 | Time: 9.85s
Epoch 3 | Loss: 0.4431 | Time: 9.80s
Epoch 1 | Loss: 1.6835 | Time: 9.85s
Epoch 2 | Loss: 0.6352 | Time: 9.90s
Epoch 3 | Loss: 0.4339 | Time: 9.74s
Epoch 1 | Loss: 1.7538 | Time: 9.23s
Epoch 2 | Loss: 0.6731 | Time: 10.02s
Epoch 3 | Loss: 0.4479 | Time: 10.09s
Epoch 1 | Loss: 1.8627 | Time: 9.69s
Epoch 2 | Loss: 0.8077 | Time: 10.60s
Epoch 3 | Loss: 0.5177 | Time: 11.01s
Epoch 4 | Loss: 0.4182 | Time: 10.70s
Epoch 5 | Loss: 0.3693 | Time: 10.68s
Epoch 6 | Loss: 0.3304 | Time: 10.55s
Epoch 7 | Loss: 0.3239 | Time: 10.50s
Epoch 8 | Loss: 0.3022 | Time: 10.45s
Epoch 9 | Loss: 0.2872 | Time: 10.39s
Epoch 10 | Loss: 0.2755 | Time: 10.53s
Epoch 1 | Loss: 1.9935 | Time: 160.66s
Epoch 2 | Loss: 0.9486 | Time: 160.24s
Epoch 3 | Loss: 0.5510 | Time: 161.07s
Epoch 4 | Loss: 0.4282 | Time: 161.08s
Epoch 5 | Loss: 0.3731 | Time: 160.17s
Epoch 6 | Loss: 0.3324 | Time: 160.19s
Epoch 7 | Loss: 0.3242 | Time: 160.16s
Epoch 8 | Loss: 0.3041 | Time: 159.97s
